Date,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions),Annual Average Inflation,12-Month Inflation
01/03/2007,307,0.020992,0.021714,0.0643905,4.99,2.19
01/04/2007,362,0.054944,0.07,0.220896,4.69,1.85
01/05/2007,447,0.107733,0.15,0.483709,4.47,1.96
01/06/2007,527,0.175652,0.233661,0.720102,4.46,4.07
01/07/2007,681,0.268499,0.354298,1.06537,4.57,5.48
01/08/2007,819,0.432555,0.516239,1.57991,4.6,5.3
01/09/2007,960,0.635761,0.669689,2.06969,4.57,5.53
01/10/2007,1196,0.875962,0.958908,2.82955,4.48,5.38
01/11/2007,1379,1.1332,1.22174,3.51495,4.45,6.08
01/12/2007,1582,1.34527,1.2741,3.77027,4.27,5.7
01/01/2008,1812,1.5891,1.34683,4.05904,6.13,11.9
01/02/2008,2067,1.82153,1.7399,5.21979,7.32,16.12
01/03/2008,2329,2.07553,2.3975,6.74745,8.7,18.61
01/04/2008,2606,2.37346,3.07289,8.38964,9.86,17.87
01/05/2008,2770,2.71813,4.02127,10.9042,10.83,17.12
01/06/2008,3011,3.03852,4.20144,10.9172,11.92,18.33
01/07/2008,3378,3.36719,5.39108,14.0171,13.02,18.73
01/08/2008,3761,3.72618,6.34241,16.7563,14.13,18.74
01/09/2008,4230,4.14304,7.15191,19.2699,15.25,19.54
01/10/2008,4781,4.42028,8.30365,21.6007,16.27,17.83
01/11/2008,5399,4.75139,8.56681,21.7,6.08,4.63
01/12/2008,6104,5.08247,10.2051,26.99,5.55,3.02
01/01/2009,7304,5.47828,10.1906,27.0749,17.07,14.6
01/02/2009,7512,5.81602,11.0793,28.6863,16.72,12.42
01/03/2009,13358,6.28952,13.5541,33.8202,15.93,9.61
01/04/2009,14790,6.53192,13.7796,34.0201,15.11,8.6
01/05/2009,16029,6.8427,15.0488,36.8062,14.35,8.44
01/06/2009,16641,7.19062,15.9846,38.1756,13.42,7.36
01/07/2009,18504,7.42641,16.8986,40.3374,12.41,6.74
01/08/2009,18780,7.7141,17.0104,40.6787,11.42,6.62
01/09/2009,19803,8.01624,18.3703,45.3683,10.24,5
01/10/2009,20631,8.36803,19.92,48.6365,9.24,5.32
01/11/2009,22476,8.61529,19.975,47.4656,4.69,9.4
01/12/2009,23012,8.88258,21.6891,52.3417,5.32,10.58
01/01/2010,24850,9.4767,20.0767,48.4625,7.03,3.97
01/02/2010,25394,9.67495,20.8087,49.9055,6.32,3.66
01/03/2010,27622,9.97211,24.0758,56.1167,5.85,3.88
01/04/2010,29570,10.2026,22.6933,51.8136,5.43,3.49
